"celltype","pathway","program_module","module_label","frozen_direction","collection","gene_set","corrected_direction_EOPE","corrected_direction_LOPE","BH_FDR_frozen20_EOPE","BH_FDR_frozen20_LOPE","direction_agrees_EOPE","direction_agrees_LOPE","classification","record_type","constituent_gene_set_n","direction_agree_both_n","direction_agree_both_proportion","any_constituent_fdr05","corrected_module_status","constituent_pathways","source_url"
"HOFBAUER","GOBP::GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM","GOBP","GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.00218163088316017,3.20312674836736e-06,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER","GOBP::GOBP_RESPONSE_TO_TYPE_I_INTERFERON","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM","GOBP","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.22999849659133e-05,3.20312674836736e-06,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER","GOBP::GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM","GOBP","GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.00225352214741462,1.89390133249133e-06,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER","REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM","REACTOME","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.09033817548257e-09,9.75666275601129e-10,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER","REACTOME::REACTOME_INTERFERON_SIGNALING","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM","REACTOME","REACTOME_INTERFERON_SIGNALING","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.000134844680795426,0.000342962501313985,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER",,"PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","UP_IN_PE_PROGRAM",,,,,,,,,,"PROGRAM_MODULE",5,5,1,"YES","CORRECTED_ADMATI_SUPPORT","GOBP::GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY;GOBP::GOBP_RESPONSE_TO_TYPE_I_INTERFERON;GOBP::GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY;REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING;REACTOME::REACTOME_INTERFERON_SIGNALING","results/02_phase2a1/shared_program_modules.csv|config/phase2a2_analysis.json"
"HOFBAUER","GOBP::GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","PROGRAM_MODULE_02","HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION","UP_IN_PE_PROGRAM","GOBP","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.86826042710081e-05,0.000116033846336963,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER",,"PROGRAM_MODULE_02","HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION","UP_IN_PE_PROGRAM",,,,,,,,,,"PROGRAM_MODULE",1,1,1,"YES","CORRECTED_ADMATI_SUPPORT","GOBP::GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","results/02_phase2a1/shared_program_modules.csv|config/phase2a2_analysis.json"
"HOFBAUER","HALLMARK::HALLMARK_INTERFERON_ALPHA_RESPONSE","PROGRAM_MODULE_03","HOFBAUER_INTERFERON_RESPONSE_HALLMARKS","UP_IN_PE_PROGRAM","HALLMARK","HALLMARK_INTERFERON_ALPHA_RESPONSE","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",3.2100890398643e-11,8.1951962203257e-12,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
"HOFBAUER","HALLMARK::HALLMARK_INTERFERON_GAMMA_RESPONSE","PROGRAM_MODULE_03","HOFBAUER_INTERFERON_RESPONSE_HALLMARKS","UP_IN_PE_PROGRAM","HALLMARK","HALLMARK_INTERFERON_GAMMA_RESPONSE","UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",6.6416974119922e-06,2.61883623810535e-06,"YES","YES","CORRECTED_SHARED_SUPPORT","ORIGINAL_GENE_SET",,,,"","CONSTITUENT","","results/02_phase2a1/shared_program_modules.csv|results/02_phase2a/programs/shared_pe_programs.csv"
