"celltype","collection","gene_set","pathway","legacy_direction","available_gene_n_EOPE","available_gene_n_LOPE","corrected_effect_statistic_EOPE","corrected_effect_statistic_LOPE","corrected_direction_EOPE","corrected_direction_LOPE","P_value_EOPE","P_value_LOPE","BH_FDR_frozen20_EOPE","BH_FDR_frozen20_LOPE","n_PE_EOPE","n_PE_LOPE","n_control_EOPE","n_control_LOPE","direction_agrees_EOPE","direction_agrees_LOPE","classification","historical_hypothesis_label","tier","correction_family","source_url"
"HOFBAUER","GOBP","GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","GOBP::GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","UP_IN_PE_PROGRAM",81,82,0.227865532037594,1.19935825629768,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.00185438625068615,1.40806823611163e-06,0.00218163088316017,3.20312674836736e-06,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","GOBP","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","GOBP::GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","UP_IN_PE_PROGRAM",42,41,0.583662150232029,1.20477767069014,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",5.60478128130244e-06,9.86287693864189e-05,1.86826042710081e-05,0.000116033846336963,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","GOBP","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","GOBP::GOBP_RESPONSE_TO_TYPE_I_INTERFERON","UP_IN_PE_PROGRAM",102,103,0.410755038774351,1.15032904058623,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",3.07499624147831e-06,1.44140703676531e-06,1.22999849659133e-05,3.20312674836736e-06,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","GOBP","GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","GOBP::GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","UP_IN_PE_PROGRAM",62,63,0.260421814962701,1.29846849395254,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.00202816993267316,5.681703997474e-07,0.00225352214741462,1.89390133249133e-06,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","HALLMARK","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK::HALLMARK_INTERFERON_ALPHA_RESPONSE","UP_IN_PE_PROGRAM",95,94,0.751035132280208,1.56764377383868,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.60504451993215e-12,4.09759811016285e-13,3.2100890398643e-11,8.1951962203257e-12,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","HALLMARK","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK::HALLMARK_INTERFERON_GAMMA_RESPONSE","UP_IN_PE_PROGRAM",193,191,0.356322194337109,1.06598933260668,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",9.9625461179883e-07,9.16592683336873e-07,6.6416974119922e-06,2.61883623810535e-06,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","REACTOME","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","UP_IN_PE_PROGRAM",63,63,0.777673994141657,1.56881429107104,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.09033817548257e-10,9.75666275601129e-11,1.09033817548257e-09,9.75666275601129e-10,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","REACTOME","REACTOME_INTERFERON_SIGNALING","REACTOME::REACTOME_INTERFERON_SIGNALING","UP_IN_PE_PROGRAM",248,246,0.23040004889267,0.860086908056774,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",6.7422340397713e-05,0.000325814376248285,0.000134844680795426,0.000342962501313985,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"HOFBAUER","REACTOME","REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES","REACTOME::REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES","UP_IN_PE_PROGRAM",18,18,0.858767687861135,1.66478627807149,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",1.20566262290486e-05,1.1675331316091e-05,3.01415655726216e-05,2.12278751201655e-05,10,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
"MACROPHAGE","REACTOME","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","UP_IN_PE_PROGRAM",63,63,0.331637880775149,0.981177684967893,"UP_IN_PE_PROGRAM","UP_IN_PE_PROGRAM",0.000161068446375467,0.000118932182623043,0.000268447410625778,0.000132146869581159,9,7,3,6,"YES","YES","CORRECTED_SHARED_SUPPORT","LEGACY_COUNT_MODEL_DISCOVERY","TIER_1_FROZEN_HYPOTHESIS_RETEST","BH_WITHIN_FROZEN_20_SEPARATELY_BY_SUBTYPE","results/02_phase2a/programs/shared_pe_programs.csv|config/phase2a2_analysis.json"
