"program_module","module_label","celltype","frozen_direction","constituent_gene_set_n","corrected_module_status","corrected_direction_agree_both_proportion","corrected_any_constituent_fdr05","yang_evaluable_constituent_n","yang_direction_agree_n","yang_direction_disagree_n","zheng_eope_status","evidence_level","phase2b_program_validation_candidate","rationale","phase2a2_bulk_evidence_used_legacy","source_url","bulk_module_classification","bulk_robust_constituent_n","bulk_directional_constituent_n","bulk_heterogeneous_constituent_n","CORRECTED_ADMATI_SUPPORT","EXTERNAL_SCRNA_SUPPORT","INDEPENDENT_BULK_PROGRAM_SUPPORT","bulk_validation_scope","celltype_localization_claim","phase3_candidate","source_url_phase2b"
"PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","HOFBAUER","UP_IN_PE_PROGRAM",5,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DIRECTIONAL",0,4,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","BULK_MODULE_DIRECTIONAL","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","YES_WITH_EVIDENCE_QUALIFIERS","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_02","HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION","HOFBAUER","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","NOT_BULK_SUPPORTED",0,0,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","NOT_BULK_SUPPORTED","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","NO","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_03","HOFBAUER_INTERFERON_RESPONSE_HALLMARKS","HOFBAUER","UP_IN_PE_PROGRAM",2,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DISCORDANT",0,0,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","BULK_MODULE_DISCORDANT","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","NO","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_04","HOFBAUER_IFN_STIMULATED_HOST_RESPONSE","HOFBAUER","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DIRECTIONAL",0,1,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","BULK_MODULE_DIRECTIONAL","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","YES_WITH_EVIDENCE_QUALIFIERS","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_05","MACROPHAGE_INTERFERON_ALPHA_BETA_SIGNALING","MACROPHAGE","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DIRECTIONAL",0,1,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","BULK_MODULE_DIRECTIONAL","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","YES_WITH_EVIDENCE_QUALIFIERS","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_06","PLACENTAL_STROMAL_INTERFERON_ALPHA_RESPONSE","PLACENTAL_STROMAL","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",1,1,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_A","YES","Corrected Admati support plus independent Yang LOPE directional support.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","NOT_BULK_SUPPORTED",0,0,0,"CORRECTED_ADMATI_SUPPORT","YANG_LOPE_DIRECTIONAL_SUPPORT","NOT_BULK_SUPPORTED","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","NO","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_07","PLACENTAL_STROMAL_INTERFERON_ALPHA_BETA_SIGNALING","PLACENTAL_STROMAL","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",1,1,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_A","YES","Corrected Admati support plus independent Yang LOPE directional support.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DIRECTIONAL",0,1,0,"CORRECTED_ADMATI_SUPPORT","YANG_LOPE_DIRECTIONAL_SUPPORT","BULK_MODULE_DIRECTIONAL","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","YES_WITH_EVIDENCE_QUALIFIERS","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_08","PLACENTAL_STROMAL_IFN_STIMULATED_HOST_RESPONSE","PLACENTAL_STROMAL","UP_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",1,0,1,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","UNCLASSIFIED_FROZEN_HIERARCHY_GAP","NO_HOLD_EXTERNAL_DISCORDANCE","Corrected Admati support but evaluable Yang evidence is directionally discordant; frozen A-D definitions contain no honest category for this combination.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv",,,,,"CORRECTED_ADMATI_SUPPORT","DIRECTIONALLY_DISCORDANT","NOT_TESTED_HOLD_EXTERNAL_DISCORDANCE","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","NO","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_09","SCT_MITOCHONDRIAL_RESPIRATION_CORE","SCT","DOWN_IN_PE_PROGRAM",4,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","NOT_BULK_SUPPORTED",0,1,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","NOT_BULK_SUPPORTED","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","NO","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
"PROGRAM_MODULE_10","SCT_OXIDATIVE_PHOSPHORYLATION_HALLMARK","SCT","DOWN_IN_PE_PROGRAM",1,"CORRECTED_ADMATI_SUPPORT",1,"YES",0,0,0,"NOT_RUN_EOPE_ESTIMAND_CONTRADICTION","LEVEL_B","YES_WITH_RESTRICTIONS","Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.","NO_PHASE2B_LOCKED","results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv","BULK_MODULE_DIRECTIONAL",0,1,0,"CORRECTED_ADMATI_SUPPORT","NOT_EVALUABLE","BULK_MODULE_DIRECTIONAL","PLACENTAL_TISSUE_LEVEL_PROGRAM_ONLY","DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK","YES_WITH_EVIDENCE_QUALIFIERS","results/02_phase2b/meta/program_module_validation.csv|config/phase2b_analysis.json"
