"hypothesis_id","program_module","module_label","gene_set","celltype_origin","scRNA_direction","k_cohorts","summary_standardized_beta","SE","CI_lower","CI_upper","test_statistic","test_df","raw_meta_P","tau2","I2","Cochran_Q","Q_P","expected_direction_cohort_proportion","all_valid_LOCO_expected_direction","GSE75010_LOCO_effect","cohort_effects","meta_method","source_url","BH_FDR","classification","GSE75010_LOCO_P","GSE75010_driver"
"P2B_H01","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","HOFBAUER","UP_IN_PE_PROGRAM",6,0.350402130927203,0.124090937244079,0.0314162216804871,0.669388040173919,2.82375279540345,5,0.0369451278324822,0,0,1.89967391762518,0.862845640979879,1,"YES",0.388962394522032,"GSE75010_BIOBANK=0.303222;GSE30186=0.154551;GSE10588=0.627048;GSE24129=0.682756;GSE25906=0.222681;GSE43942=0.101589","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.175489357204291,"BULK_DIRECTIONAL_SUPPORT",0.0806786269431132,"NO"
"P2B_H02","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","HOFBAUER","UP_IN_PE_PROGRAM",6,0.264393651762452,0.136217883748276,-0.0857655658896855,0.614552869414589,1.94096138104038,5,0.109935383840624,0.00307039586384236,16.902135466089,6.01700179426341,0.3045680841216,0.833333333333333,"YES",0.288819559680168,"GSE75010_BIOBANK= 0.2475512;GSE30186= 0.7075660;GSE10588= 0.6788124;GSE24129= 0.5166958;GSE25906= 0.0102998;GSE43942=-0.5880804","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.298396041853121,"BULK_DIRECTIONAL_SUPPORT",0.248020056180446,"NO"
"P2B_H03","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","HOFBAUER","UP_IN_PE_PROGRAM",6,0.480424049329331,0.120277106996422,0.171241902841444,0.789606195817218,3.99430998405726,5,0.010381913702399,0,1.40764249608249,5.07138699853214,0.407230343906729,0.833333333333333,"YES",0.539178265491092,"GSE75010_BIOBANK= 0.400612;GSE30186= 0.733977;GSE10588= 0.820793;GSE24129= 0.786668;GSE25906= 0.420361;GSE43942=-0.511101","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.142934949661655,"BULK_DIRECTIONAL_SUPPORT",0.0346238497822056,"NO"
"P2B_H04","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","HOFBAUER","UP_IN_PE_PROGRAM",6,0.203513691032807,0.299482902990207,-0.566331619477452,0.973359001543066,0.67955028150459,5,0.526968972896873,0.363736261628094,72.8116167943524,18.3902071784886,0.00249510273736978,0.833333333333333,"YES",0.0760286341928461,"GSE75010_BIOBANK= 0.6679138;GSE30186= 0.3223305;GSE10588= 0.4797876;GSE24129= 0.7705714;GSE25906= 0.0913753;GSE43942=-1.3072875","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.667494032336039,"BULK_DIRECTIONAL_SUPPORT",0.840241977753109,"NO"
"P2B_H05","PROGRAM_MODULE_01","HOFBAUER_INTERFERON_SIGNALING_CORE","REACTOME_INTERFERON_SIGNALING","HOFBAUER","UP_IN_PE_PROGRAM",6,-0.00842459909520436,0.178561592785213,-0.467431786051161,0.450582587860753,-0.0471803536460278,5,0.964195982682981,0.0724963303995236,42.2527346715168,8.65841866547022,0.123489184008961,0.5,"NO",-0.115291882388321,"GSE75010_BIOBANK= 0.2430152;GSE30186=-0.0781156;GSE10588= 0.1710201;GSE24129= 0.6033951;GSE25906=-0.4039242;GSE43942=-0.7712805","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.964195982682981,"NOT_BULK_SUPPORTED",0.61665531233907,"YES"
"P2B_H06","PROGRAM_MODULE_02","HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","HOFBAUER","UP_IN_PE_PROGRAM",6,0.455932560037675,0.188097826824865,-0.0275882969209875,0.939453416996338,2.42391189592098,5,0.0598280304929073,0.0915510511130813,45.5415904005984,9.18131843507773,0.102046887227043,0.666666666666667,"YES",0.379380529434345,"GSE75010_BIOBANK= 0.6582798;GSE30186=-0.0557895;GSE10588= 0.8218957;GSE24129= 0.6019534;GSE25906=-0.0826803;GSE43942= 0.7119093","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.189455429894206,"NOT_BULK_SUPPORTED",0.185063558574694,"NO"
"P2B_H07","PROGRAM_MODULE_03","HOFBAUER_INTERFERON_RESPONSE_HALLMARKS","HALLMARK_INTERFERON_ALPHA_RESPONSE","HOFBAUER","UP_IN_PE_PROGRAM",6,0.0449513826316419,0.221591483000637,-0.52466765850151,0.614570423764793,0.202856996229917,5,0.84724340348245,0.135165751268171,55.2311743104133,11.1684859340928,0.0481398658577803,0.5,"NO",-0.080138498904383,"GSE75010_BIOBANK= 0.382855;GSE30186=-0.304213;GSE10588= 0.361951;GSE24129= 0.625555;GSE25906=-0.310021;GSE43942=-0.989051","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.894312481453697,"NOT_BULK_SUPPORTED",0.777781644468961,"YES"
"P2B_H08","PROGRAM_MODULE_03","HOFBAUER_INTERFERON_RESPONSE_HALLMARKS","HALLMARK_INTERFERON_GAMMA_RESPONSE","HOFBAUER","UP_IN_PE_PROGRAM",6,-0.172827089730485,0.200582626548879,-0.688441146081255,0.342786966620284,-0.861625419429684,5,0.428271823877492,0.0719966644625047,46.0380073984522,9.26578089308099,0.0989212129508565,0.333333333333333,"NO",-0.29804051260365,"GSE75010_BIOBANK= 0.1218640;GSE30186=-0.9402523;GSE10588=-0.0616082;GSE24129= 0.5547911;GSE25906=-0.3543659;GSE43942=-0.9668267","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.667494032336039,"NOT_BULK_SUPPORTED",0.280204572643985,"YES"
"P2B_H09","PROGRAM_MODULE_04","HOFBAUER_IFN_STIMULATED_HOST_RESPONSE","REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES","HOFBAUER","UP_IN_PE_PROGRAM",6,0.44756314958569,0.123263864025151,0.130703299732291,0.764422999439089,3.63093557974433,5,0.015045784174911,0,0,1.87937524723034,0.86557133865569,1,"YES",0.323547244414787,"GSE75010_BIOBANK=0.5850864;GSE30186=0.0276348;GSE10588=0.4104029;GSE24129=0.6083710;GSE25906=0.2400798;GSE43942=0.2990010","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.142934949661655,"BULK_DIRECTIONAL_SUPPORT",0.129734713535998,"NO"
"P2B_H10","PROGRAM_MODULE_05","MACROPHAGE_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","MACROPHAGE","UP_IN_PE_PROGRAM",6,0.203513691032807,0.299482902990207,-0.566331619477452,0.973359001543066,0.67955028150459,5,0.526968972896873,0.363736261628094,72.8116167943524,18.3902071784886,0.00249510273736978,0.833333333333333,"YES",0.0760286341928461,"GSE75010_BIOBANK= 0.6679138;GSE30186= 0.3223305;GSE10588= 0.4797876;GSE24129= 0.7705714;GSE25906= 0.0913753;GSE43942=-1.3072875","REML_MODIFIED_KNHA_T","six frozen program-score models|config/phase2b_analysis.json",0.667494032336039,"BULK_DIRECTIONAL_SUPPORT",0.840241977753109,"NO"
