"gene","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url"
"A2M",0,0,0,0,0,0.00522838883448933,0,0.000129197732309558,0,0.181818181818182,0.199505358615004,0.00406972167935043,"NO","NOT_RELIABLY_EXPRESSED",0.181818181818182,0.733585858585859,-0.551767676767677,"UC_LOWER_CONTEXT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"AANAT",0,0,0,0,0,0.25229166100979,0.037186985210942,0.00630344997983748,0.000604879742790901,0.565025252525253,0.453833470733718,0.174479757392213,"NO","NOT_RELIABLY_EXPRESSED",0.565025252525253,0.462542087542088,0.102483164983165,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ABCA1",2,0,2,2,4,16.1860304933174,3.15201766814267,0.288148697030004,0.0452291665629532,0.815656565656566,0.723825226710635,1.1518870594207,"YES","MULTIDATASET_LOW_EXPRESSION",0.815656565656566,0.782407407407407,0.0332491582491583,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ACE",0,0,0,2,1,1.10219344562242,0.207809491329973,0.0270137167220917,0.00340938606915543,0.667929292929293,0.568219291014015,0.451871120512936,"NO","MULTIDATASET_LOW_EXPRESSION",0.667929292929293,0.690656565656566,-0.0227272727272727,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ACE2",0,0,0,0,0,0.0175081125882291,0,0.000456343170063888,0,0.226851851851852,0.199505358615004,0.0202709091152462,"NO","NOT_RELIABLY_EXPRESSED",0.226851851851852,0.222222222222222,0.00462962962962962,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ACP4",0,0,0,0,0,,0,,0,,0.199505358615004,0.0236586699309244,"NO","NOT_RELIABLY_EXPRESSED",,,,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ADAM10",2,4,6,2,4,24.2666170469326,29.4202264010333,0.439245743463658,0.357293086525886,0.86489898989899,0.858615004122012,0.171086049031239,"NO","ROBUST_BASELINE_SENDER",0.86489898989899,0.864057239057239,0.000841750841750755,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ADAM11",0,0,0,0,0,0.0646860118570085,0.0359281705861361,0.00160107758438846,0.000604879742790901,0.473063973063973,0.438582028029678,0.0271211059756798,"NO","NOT_RELIABLY_EXPRESSED",0.473063973063973,0.423821548821549,0.0492424242424243,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ADAM12",2,4,6,2,4,20.7632318021199,34.8199326873564,0.355474908130391,0.382917211624438,0.852272727272727,0.872217642209398,0.560762662415072,"YES","ROBUST_BASELINE_SENDER",0.852272727272727,0.872474747474748,-0.0202020202020202,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"ADAM15",2,4,6,2,4,16.455693708175,19.1768771741407,0.322630478088125,0.271559337279521,0.837542087542088,0.826051112943116,0.281835713597135,"NO","ROBUST_BASELINE_SENDER",0.837542087542088,0.842171717171717,-0.00462962962962954,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
