"gene","gene_measured","donor1_effect","donor2_effect","donor2_p2_effect","donor2_p5_effect","median_donor_effect","absolute_median_donor_effect","retained_after_stimulation_all_strata","licensing_classification","classification_rule","source_url"
"A2M","YES",0.852035305121114,-0.00681623623362039,0,-0.0136324724672408,0.422609534443747,0.429425770677367,"NO","DONOR_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"AANAT","YES",0.0475992051168965,0.381783979275788,0.736831780242722,0.0267361783088535,0.214691592196342,0.214691592196342,"NO","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ABCA1","YES",-0.0234782968665797,0.0195662620413287,-0.526696692422312,0.565829216504969,-0.00195601741262551,0.0215222794539542,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ACE","YES",0.0708225545519169,-0.00326828386963784,-0.00653656773927568,0,0.0337771353411395,0.0370454192107774,"NO","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ACE2","YES",0.00603649583691562,0.498221267526578,0.996442535053156,0,0.252128881681747,0.252128881681747,"NO","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ACP4","NO",,,,,,,"NO","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ADAM10","YES",-0.336953253853054,-0.0193857569535209,-0.158674356434356,0.119902842527314,-0.178169505403287,0.178169505403287,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ADAM11","YES",-0.997751094122664,-0.00341616917788391,0,-0.00683233835576781,-0.500583631650274,0.500583631650274,"NO","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ADAM12","YES",0.915910064992869,1.47858589793788,1.08967338377978,1.86749841209598,1.19724798146537,1.19724798146537,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
"ADAM15","YES",0.0968846307875561,0.95439962657968,1.68927894305923,0.21952031010013,0.525642128683618,0.525642128683618,"NO","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json"
