"gene","ligand_annotation_source","database_version","mapping_status","nichenet_lr_edge_n","omnipath_row_n","omnipath_ligand_annotation","omnipath_transmitter_annotation","omnipath_secreted_annotation","omnipath_extracellular_annotation","protein_secretome_annotation","omnipath_databases","nichenet_resource_sha256","omnipath_snapshot_sha256","freeze_status","source_url"
"A2M","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,14,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;LOCATE;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AANAT","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,8,"NO","NO","YES","YES","OMNIPATH_SECRETED_ANNOTATION","ComPPI;connectomeDB2020;GO_Intercell;HPMR;OmniPath;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ABCA1","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,33,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Baccin2019;Cellinker;CellPhoneDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;GO_Intercell;LOCATE;OmniPath;Phobius;Ramilowski_location;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ACE","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,41,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;HPA_secretome;LOCATE;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ACE2","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,38,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;Cellinker;CellTalkDB;ConnectomeDB2025;GO_Intercell;HPA_secretome;LOCATE;Membranome;OmniPath;Phobius;scConnect;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ACP4","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,23,"NO","YES","NO","NO","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Cellinker;GO_Intercell;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM10","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",14,37,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;GO_Intercell;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM11","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,30,"YES","YES","NO","NO","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;connectomeDB2020;ConnectomeDB2025;Kirouac2010;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM12","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",3,41,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Adhesome;Almen2009;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;GO_Intercell;HPA_secretome;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM15","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,43,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;GO_Intercell;HPMR;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
