"dataset","sample_id","donor_id","independence_group","is_hucmsc_sender_donor","tissue_source","tissue_definition","passage","condition","cytokine","duration_hours","sex","age","platform","raw_count_availability","normalized_availability","cells_total","cells_untreated","cells_stimulated","batch_structure","source_url","biological_unit"
"GSE117837","CELL_LEVEL_GSM_SERIES","Donor1","GSE117837_Donor1","YES","Umbilical cord","umbilical-cord-derived MSC; exact Wharton's jelly versus whole-cord definition unresolved","P5","UNTREATED_AND_IFNG_TNFA_STIMULATED","IFN-gamma 10 ng/mL + TNF-alpha 10 ng/mL",12,,,"Fluidigm C1; HiSeq 2500","SUBMITTED_RAW_READ_COUNT_TABLE","RPKM_DESCRIBED_NOT_USED",110,52,58,"donor, passage and treatment strata; multiple passages from Donor2 are not independent donors","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117837|https://pmc.ncbi.nlm.nih.gov/articles/PMC6506509/","DONOR"
"GSE117837","CELL_LEVEL_GSM_SERIES","Donor2","GSE117837_Donor2","YES","Umbilical cord","umbilical-cord-derived MSC; exact Wharton's jelly versus whole-cord definition unresolved","P0;P2;P5","UNTREATED_AND_IFNG_TNFA_STIMULATED","IFN-gamma 10 ng/mL + TNF-alpha 10 ng/mL",12,,,"Fluidigm C1; HiSeq 2500","SUBMITTED_RAW_READ_COUNT_TABLE","RPKM_DESCRIBED_NOT_USED",251,151,100,"donor, passage and treatment strata; multiple passages from Donor2 are not independent donors","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117837|https://pmc.ncbi.nlm.nih.gov/articles/PMC6506509/","DONOR"
"GSE182158","GSM5519464","A01","GSE182158_A01","NO_CONTEXT_ONLY","Adipose","Adipose-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",24246,24246,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519464|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519465","A02","GSE182158_A02","NO_CONTEXT_ONLY","Adipose","Adipose-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",17825,17825,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519465|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519466","A03","GSE182158_A03","NO_CONTEXT_ONLY","Adipose","Adipose-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",11253,11253,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519466|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519459","B01","GSE182158_B01","NO_CONTEXT_ONLY","Bone marrow","Bone marrow-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",15183,15183,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519459|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519460","B02","GSE182158_B02","NO_CONTEXT_ONLY","Bone marrow","Bone marrow-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",13732,13732,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519460|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519461","B03","GSE182158_B03","NO_CONTEXT_ONLY","Bone marrow","Bone marrow-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",10525,10525,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519461|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519456","D01","GSE182158_D01","NO_CONTEXT_ONLY","Dermis","Dermis-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",9039,9039,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519456|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
"GSE182158","GSM5519457","D02","GSE182158_D02","NO_CONTEXT_ONLY","Dermis","Dermis-derived MSC context","P1_OR_P2_PROTOCOL_DONOR_SPECIFIC_UNRESOLVED","UNTREATED","NONE",,,,"10x Chromium 3' v2; NovaSeq 6000","TRUE_CELLRANGER_COUNTS","PUBLIC_PROCESSED_IN_PUBLICATION",11000,11000,0,"one Cell Ranger matrix per donor; tissue/source and protocol are inseparable","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5519457|https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182158","DONOR"
