"candidate_rank","gene","sender_evidence_level","candidate_label","ligand_annotation_source","database_version","mapping_status","nichenet_lr_edge_n","omnipath_row_n","omnipath_ligand_annotation","omnipath_transmitter_annotation","omnipath_secreted_annotation","omnipath_extracellular_annotation","protein_secretome_annotation","omnipath_databases","nichenet_resource_sha256","omnipath_snapshot_sha256","freeze_status","source_url.x","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url.y","gene_measured","donor1_effect","donor2_effect","donor2_p2_effect","donor2_p5_effect","median_donor_effect","absolute_median_donor_effect","retained_after_stimulation_all_strata","licensing_classification","classification_rule","source_url","transcriptomic_sender_evidence","ligand_claim","sender_competence","licensing_responsive_ligand","protein_evidence_interpretation","phase4_eligible","source_url_phase3","min_dataset_median_rank"
1,"B2M","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",7,21,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;CellPhoneDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;GO_Intercell;LOCATE;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,3705.84499030088,1616.06361341095,1,0.969915074700398,0.997474747474748,0.992580379225062,0.703948192376723,"NO","ROBUST_BASELINE_SENDER",0.997474747474748,0.997895622895623,-0.000420875420875433,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",2.48487014412217,2.01063742488328,2.08771330456326,1.9335615452033,2.24775378450272,2.24775378450272,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.992580379225062
2,"COL1A1","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",18,23,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellChatDB;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;HPMR;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,3309.72601551269,1395.32958058868,0.999949295203326,0.957066101200083,0.996632996632997,0.991343775762572,0.759751629689608,"NO","ROBUST_BASELINE_SENDER",0.996632996632997,0.993686868686869,0.00294612794612792,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-2.00947408647129,-0.695008306228167,-0.514546519701217,-0.875470092755117,-1.35224119634973,1.35224119634973,"YES","LICENSING_CONSISTENT_DOWN","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.991343775762572
3,"ANXA1","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,50,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;EMBRACE;GO_Intercell;Guide2Pharma;HPA_secretome;HPMR;ICELLNET;iTALK;LRdb;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,379.670157476796,1224.76598972779,0.96598565826368,0.96912461298844,0.963804713804714,0.990107172300083,1.12683964511838,"NO","ROBUST_BASELINE_SENDER",0.963804713804714,0.974326599326599,-0.0105218855218856,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-1.05330065759579,-0.53260973497042,-0.931108538141673,-0.134110931799166,-0.792955196283106,0.792955196283106,"YES","LICENSING_CONSISTENT_DOWN","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.963804713804714
4,"MDK","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",14,39,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;EMBRACE;GO_Intercell;HPA_secretome;HPMR;ICELLNET;iTALK;LOCATE;LRdb;Matrisome;OmniPath;Ramilowski2015;SignaLink_function;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,625.359699719439,197.113291911159,0.994480862481428,0.807981720819344,0.979377104377104,0.955070074196208,1.0096451856927,"NO","ROBUST_BASELINE_SENDER",0.979377104377104,0.952441077441078,0.0269360269360269,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.966712724956434,0.802972574536269,0.720894003514939,0.8850511455576,0.884842649746352,0.884842649746352,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.955070074196208
5,"HLA-A","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",8,49,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;ICELLNET;iTALK;LRdb;Membranome;OmniPath;Phobius;Ramilowski_location;Ramilowski2015;Surfaceome;talklr;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,721.898133216823,171.8226476268,0.999337681528346,0.850107687301265,0.980218855218855,0.952184666117065,1.17763075123686,"NO","ROBUST_BASELINE_SENDER",0.980218855218855,0.990319865319865,-0.0101010101010101,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",2.49750820761071,2.56562857293554,2.53194895185926,2.59930819401182,2.53156839027312,2.53156839027312,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.952184666117065
6,"SPON2","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,21,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;EMBRACE;HPA_secretome;ICELLNET;iTALK;LOCATE;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,990.130106225486,124.487392651756,0.998410380744467,0.642302361343205,0.986531986531987,0.944765045342127,1.49511388170501,"YES","ROBUST_BASELINE_SENDER",0.986531986531987,0.942340067340067,0.0441919191919191,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-1.20635976254767,-0.559124630737283,-0.956553108748242,-0.161696152726324,-0.882742196642476,0.882742196642476,"YES","LICENSING_CONSISTENT_DOWN","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.944765045342127
7,"DCN","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",8,44,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellCall;CellChatDB;Cellinker;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;EMBRACE;GO_Intercell;HGNC;HPA_secretome;ICELLNET;iTALK;LOCATE;LRdb;Matrisome;OmniPath;Ramilowski_location;Ramilowski2015;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,2408.2727302483,123.01079479319,0.999713816396419,0.643687977939451,0.993686868686869,0.940230832646331,2.39979414361113,"YES","ROBUST_BASELINE_SENDER",0.993686868686869,0.963383838383838,0.0303030303030304,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.57661085438036,1.32348498114403,0.949291508622019,1.69767845366605,0.950047917762197,0.950047917762197,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.940230832646331
8,"CCL2","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",9,40,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellCall;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;Guide2Pharma;HGNC;HPA_secretome;HPMR;ICELLNET;iTALK;Kirouac2010;LOCATE;LRdb;Matrisome;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,279.670099739133,115.828465375557,0.791055423128742,0.424743534636328,0.957070707070707,0.936521022258862,1.13835980035799,"YES","ROBUST_BASELINE_SENDER",0.957070707070707,0.948232323232323,0.00883838383838387,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",4.91508153993059,3.69679712989715,3.40229842002581,3.99129583976849,4.30593933491387,4.30593933491387,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.936521022258862
9,"HLA-C","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",8,50,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;ICELLNET;iTALK;LRdb;Membranome;OmniPath;Phobius;Ramilowski_location;Ramilowski2015;Surfaceome;talklr;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,506.368942490784,121.656921290399,0.994700011478229,0.760245375566894,0.973484848484848,0.936108821104699,1.18824617197814,"NO","ROBUST_BASELINE_SENDER",0.973484848484848,0.983585858585858,-0.0101010101010101,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",2.50416901337621,2.28223705403617,2.17348162506672,2.39099248300563,2.39320303370619,2.39320303370619,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.936108821104699
10,"HLA-B","S1","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",7,50,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;ICELLNET;iTALK;LRdb;Membranome;OmniPath;Phobius;Ramilowski_location;Ramilowski2015;Surfaceome;talklr;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,470.983078401914,109.481840538551,0.92575542585104,0.674325820682063,0.962962962962963,0.93239901071723,1.44976898759688,"YES","ROBUST_BASELINE_SENDER",0.962962962962963,0.98526936026936,-0.0223063973063973,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",4.19565468645995,3.35701175836244,3.22824508034034,3.48577843638453,3.77633322241119,3.77633322241119,"YES","LICENSING_CONSISTENT_UP","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_AND_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","YES","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.93239901071723
