program_module,module_label,celltype,frozen_direction,constituent_gene_set_n,constituent_pathways,constituent_membership_sha256,module_union_gene_n,module_union_sha256,CORRECTED_ADMATI_SUPPORT,EXTERNAL_SCRNA_SUPPORT,INDEPENDENT_BULK_PROGRAM_SUPPORT,celltype_localization_claim,receiver_level,phase4a_analysis_scope,molecular_evidence_counting_rule,freeze_status,source_url
PROGRAM_MODULE_01,HOFBAUER_INTERFERON_SIGNALING_CORE,HOFBAUER,UP_IN_PE_PROGRAM,5,GOBP::GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY;GOBP::GOBP_RESPONSE_TO_TYPE_I_INTERFERON;GOBP::GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY;REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING;REACTOME::REACTOME_INTERFERON_SIGNALING,0c3bad95ccec0ff3ac0d1f56ece1b1f7d11ba5fde3e1c4a0c796e9520f0335ce;7203f39dc481132dd344a8fc37df7dd34d96d03fbf5a0789816b15d00c27c955;aed4956b5794bd93eb0d28b7e18a1a0afc4ad2bfc59116cca95fbd8a88949353;8d2d945c8ec5be894a2381be09bb2f076501cac25a1d430d2679f991ad2e6ec3;5a44802f0a2e177431166e4cae2308862ceac737753edbe0bf662db8a898304b,392,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_02,HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION,HOFBAUER,UP_IN_PE_PROGRAM,1,GOBP::GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,d34bc9e48242d4c70535b1b2c64fa285ad227c55d2b1ecadf4991c9e96b27b11,50,d34bc9e48242d4c70535b1b2c64fa285ad227c55d2b1ecadf4991c9e96b27b11,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NOT_BULK_SUPPORTED,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_03,HOFBAUER_INTERFERON_RESPONSE_HALLMARKS,HOFBAUER,UP_IN_PE_PROGRAM,2,HALLMARK::HALLMARK_INTERFERON_ALPHA_RESPONSE;HALLMARK::HALLMARK_INTERFERON_GAMMA_RESPONSE,77391f93d6dd222f178684d152bb2220bcd7bba9d11c5769a5daacc32c8116ff;7d485bc7dc77af37636c7808be578a10df595d3cef0f7a18c726a0f19d6903d4,224,56578e87804d94346a7d424a86c2a556d94eee11ff88e85382b921f11f299f9b,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DISCORDANT,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_04,HOFBAUER_IFN_STIMULATED_HOST_RESPONSE,HOFBAUER,UP_IN_PE_PROGRAM,1,REACTOME::REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,a5e7b32e0553e7f09720afba8b626c8c70162f2fe1d33dde00e00b3c598dbf4e,19,a5e7b32e0553e7f09720afba8b626c8c70162f2fe1d33dde00e00b3c598dbf4e,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_05,MACROPHAGE_INTERFERON_ALPHA_BETA_SIGNALING,MACROPHAGE,UP_IN_PE_PROGRAM,1,REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,8d2d945c8ec5be894a2381be09bb2f076501cac25a1d430d2679f991ad2e6ec3,78,8d2d945c8ec5be894a2381be09bb2f076501cac25a1d430d2679f991ad2e6ec3,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_06,PLACENTAL_STROMAL_INTERFERON_ALPHA_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,HALLMARK::HALLMARK_INTERFERON_ALPHA_RESPONSE,77391f93d6dd222f178684d152bb2220bcd7bba9d11c5769a5daacc32c8116ff,97,77391f93d6dd222f178684d152bb2220bcd7bba9d11c5769a5daacc32c8116ff,CORRECTED_ADMATI_SUPPORT,YANG_LOPE_DIRECTIONAL_SUPPORT,NOT_BULK_SUPPORTED,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2B,SECONDARY_SENSITIVITY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_07,PLACENTAL_STROMAL_INTERFERON_ALPHA_BETA_SIGNALING,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,REACTOME::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,8d2d945c8ec5be894a2381be09bb2f076501cac25a1d430d2679f991ad2e6ec3,78,8d2d945c8ec5be894a2381be09bb2f076501cac25a1d430d2679f991ad2e6ec3,CORRECTED_ADMATI_SUPPORT,YANG_LOPE_DIRECTIONAL_SUPPORT,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R1,PRIMARY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_08,PLACENTAL_STROMAL_IFN_STIMULATED_HOST_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,REACTOME::REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,a5e7b32e0553e7f09720afba8b626c8c70162f2fe1d33dde00e00b3c598dbf4e,19,a5e7b32e0553e7f09720afba8b626c8c70162f2fe1d33dde00e00b3c598dbf4e,CORRECTED_ADMATI_SUPPORT,DIRECTIONALLY_DISCORDANT,NOT_TESTED_HOLD_EXTERNAL_DISCORDANCE,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,HOLD,HOLD_NOT_TESTED,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_09,SCT_MITOCHONDRIAL_RESPIRATION_CORE,SCT,DOWN_IN_PE_PROGRAM,4,GOBP::GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT;GOBP::GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE;GOBP::GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS;REACTOME::REACTOME_COMPLEX_I_BIOGENESIS,5a06ca46b0033e73bb10809185e5f55ddd17e0aa96f6378d414afcf71e6d9e98;a40110b5c768ca4153d679e8c47af5c680cb0db4ee58581e7020ff2107bda527;1d422b869de86571bf7b0ad48620a52e4f05ed50f0048466434d282e2c39dd86;59c3d1618bdc2e1c02da50e50aed03dd584b87a3979a26ff7bf45e520fcc68af,155,49732e5d585fff23997952b00f983403d78eb6a7e671991313c60e4bffde12a2,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NOT_BULK_SUPPORTED,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
PROGRAM_MODULE_10,SCT_OXIDATIVE_PHOSPHORYLATION_HALLMARK,SCT,DOWN_IN_PE_PROGRAM,1,HALLMARK::HALLMARK_OXIDATIVE_PHOSPHORYLATION,b0be5036098d612fdf31185cb68514bfe0cc2d56d7ff69f011898a79bdeeb01c,200,b0be5036098d612fdf31185cb68514bfe0cc2d56d7ff69f011898a79bdeeb01c,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,IDENTICAL_MEMBERSHIP_SHA256_NOT_INDEPENDENT;CELL_LOCALIZATION_SEPARATE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json
