gene,candidate_rank,sender_evidence_level,baseline_classification,licensing_classification,omnipath_secreted_annotation,omnipath_extracellular_annotation,protein_secretome_annotation,P1_PARACRINE_CORE,P2_EXTRACELLULAR_EXTENDED,P3_FULL_LR_SENSITIVITY,primary_scope_membership,scope_freeze_status,interpretation,source_url
B2M,1,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
COL1A1,2,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ANXA1,3,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
MDK,4,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HLA-A,5,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
SPON2,6,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
DCN,7,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CCL2,8,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HLA-C,9,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HLA-B,10,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
