ligand,program_module,receiver_level,receiver_celltype,frozen_PE_direction,P1_PARACRINE_CORE,measured_module_gene_n,frozen_module_gene_n,measured_coverage_proportion,positive_potential_module_target_n,required_measured_gene_n,competent_receptor_n,competent_receptors,weighted_target_rank_compatibility,permutation_P,target_compatibility_BH_FDR,target_compatibility_class,nichenet_directionality,source_url,signed_reversal_class,omnipath_collectri_class,cytosig_class,sender_evidence_level,baseline_classification,licensing_classification,sender_P1,sender_P2,CORRECTED_ADMATI_SUPPORT,EXTERNAL_SCRNA_SUPPORT,INDEPENDENT_BULK_PROGRAM_SUPPORT,celltype_localization_claim,module_union_sha256,BASELINE_SENDER_ROBUSTNESS,PARACRINE_ANNOTATION,LICENSING_CONTEXT,RECEPTOR_COMPETENCE,LR_DATABASE_SUPPORT,TARGET_COMPATIBILITY,SIGNED_REVERSAL_EVIDENCE,RECEIVER_EVIDENCE_LEVEL,duplicate_molecular_evidence_rule,axis_tier
ADAM10,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,NO,327,392,0.8341836734693877,327,15,10,APP;AXL;CD44;NOTCH1;NOTCH2;TSPAN14;TSPAN15;TSPAN17;TSPAN33;TSPAN5,0.6846477494146251,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,DISEASE_CONCORDANT_POTENTIAL,CONCORDANT,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,DISEASE_CONCORDANT_POTENTIAL,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,TIER_C_EXTENDED_EXTRACELLULAR
ADAM12,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,2,ITGA9;ITGB1,0.7005975857635023,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,DISEASE_CONCORDANT_POTENTIAL,CONCORDANT,NOT_EVALUABLE,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S1,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,DISEASE_CONCORDANT_POTENTIAL,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,NOT_PRIORITIZED
ADAM15,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,NO,327,392,0.8341836734693877,327,15,3,ITGA5;ITGA9;ITGB1,0.6929107761258849,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,DISEASE_CONCORDANT_POTENTIAL,CONCORDANT,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,NO,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P2_EXTRACELLULAR_EXTENDED,PASSAGE_DEPENDENT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,DISEASE_CONCORDANT_POTENTIAL,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,TIER_C_EXTENDED_EXTRACELLULAR
ADAM17,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,5,IL6R;ITGA5;ITGB1;NOTCH1;NOTCH2,0.7141390836823587,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,DISEASE_CONCORDANT_POTENTIAL,CONCORDANT,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,DISEASE_CONCORDANT_POTENTIAL,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,NOT_PRIORITIZED
ADAM9,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,4,ITGA6;ITGAV;ITGB1;ITGB5,0.6993460998041193,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,DISEASE_CONCORDANT_POTENTIAL,CONCORDANT,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,DISEASE_CONCORDANT_POTENTIAL,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,NOT_PRIORITIZED
ADGRE5,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,1,CD55,0.6890955996630653,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,SIGNED_EVIDENCE_INSUFFICIENT,NOT_EVALUABLE,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,DONOR_DEPENDENT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,DONOR_DEPENDENT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,SIGNED_EVIDENCE_INSUFFICIENT,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,TIER_B_COMPATIBILITY_CANDIDATE
ADM,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,0,,0.6701987365145466,0.0004997501249375312,0.000613460000401329,NOT_TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,SIGNED_EVIDENCE_INSUFFICIENT,NOT_EVALUABLE,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,NO_COMPETENT_RECEPTOR,NO_COMPETENT_NICHENET_LR,NOT_TARGET_COMPATIBLE,SIGNED_EVIDENCE_INSUFFICIENT,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,NOT_PRIORITIZED
AGRN,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,3,DAG1;ITGB1;LRP1,0.7109171670779239,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,REVERSAL_SUPPORTED,REVERSAL,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,REVERSAL_SUPPORTED,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE
AIMP1,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,0,,0.6990177769864672,0.0004997501249375312,0.000613460000401329,NOT_TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,SIGNED_EVIDENCE_INSUFFICIENT,NOT_EVALUABLE,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,NO_COMPETENT_RECEPTOR,NO_COMPETENT_NICHENET_LR,NOT_TARGET_COMPATIBLE,SIGNED_EVIDENCE_INSUFFICIENT,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,NOT_PRIORITIZED
ALCAM,PROGRAM_MODULE_01,R2A,HOFBAUER,UP_IN_PE_PROGRAM,YES,327,392,0.8341836734693877,327,15,2,ALCAM;NRP1,0.6721022440872008,0.0004997501249375312,0.000613460000401329,TARGET_COMPATIBLE,UNSIGNED_COMPATIBILITY_ONLY,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15,SIGNED_EVIDENCE_INSUFFICIENT,NOT_EVALUABLE,NOT_EVALUABLE,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,BULK_MODULE_DIRECTIONAL,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,9b42140f097a34c19bcb0c6bc92c94bc29a2264cae185f69e69d7aee39cf061b,S2,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,RECEPTOR_COMPETENT,NICHENET_LR_WITH_COMPETENT_RECEPTOR,TARGET_COMPATIBLE,SIGNED_EVIDENCE_INSUFFICIENT,R2A,same module_union_sha256 is one pathway-level object; localization retained separately,TIER_B_COMPATIBILITY_CANDIDATE
