candidate,phase4a_internal_label,manuscript_facing_label,S1_S2,licensing_class,P1_annotation,tier_A_modules,tier_B_modules,disease_concordant_modules,mixed_signed_direction_across_modules,PHASE4A_COMPUTATIONAL_COMPATIBILITY,GENERIC_SIGNED_PRIOR,PARACRINE_TOPOLOGY,HUCMSC_PROTEIN_SOURCE,EMPIRICAL_SIGNED_PERTURBATION,PE_DISEASE_CONTEXT,DIRECT_MSC_PE_PRECEDENT,MIXED_DIRECTION_RISK,RECEIVER_EVIDENCE_STRENGTH,NOVELTY,classification_flags,source_url
ADAM17,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,NO_CLEAR_LICENSING_EFFECT,P1_PARACRINE_CORE,PROGRAM_MODULE_07,PROGRAM_MODULE_04,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_10,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,MEMBRANE_ASSOCIATED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,PE_MECHANISTIC_AGGRAVATING,RELATED_MSC_MECHANISM,PREDOMINANTLY_DISEASE_CONCORDANT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY;BIOPHYSICALLY_WEAK_PARACRINE,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
AGRN,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,NO_CLEAR_LICENSING_EFFECT,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_05,PROGRAM_MODULE_04,PROGRAM_MODULE_07;PROGRAM_MODULE_10,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,ECM_ASSOCIATED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
COL18A1,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_07,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_06,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,ECM_ASSOCIATED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,PE_ASSOCIATION_ONLY,NO_CLOSE_PRIOR_MECHANISM_FOUND,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
DCN,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S1,LICENSING_CONSISTENT_UP,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,,NO,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,ECM_ASSOCIATED,OTHER_MSC_SECRETOME,REVERSAL_AXES=0;CONCORDANT_AXES=2,PE_MECHANISTIC_AGGRAVATING,RELATED_MSC_MECHANISM,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,NO_SUGGESTED_CATEGORY_THRESHOLD_MET,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
ENPP1,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_04,,PROGRAM_MODULE_05;PROGRAM_MODULE_07,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,EXTRACELLULAR_ENZYME,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=2;CONCORDANT_AXES=0,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,NO_SUGGESTED_CATEGORY_THRESHOLD_MET,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
FURIN,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_05;PROGRAM_MODULE_07,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_06;PROGRAM_MODULE_10,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,SHED_SOLUBLE_FORM,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,PE_MECHANISTIC_PROTECTIVE,NO_CLOSE_PRIOR_MECHANISM_FOUND,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
GDF11,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_05,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,CANONICAL_SOLUBLE_SECRETED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,PE_CONTEXT_CONFLICTING,RELATED_MSC_MECHANISM,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
GRN,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,,NO,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,CANONICAL_SOLUBLE_SECRETED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,SIGNED_EVIDENCE_UNRESOLVED,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
HSPG2,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S2,PASSAGE_DEPENDENT,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_07,PROGRAM_MODULE_04,PROGRAM_MODULE_10,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,ECM_ASSOCIATED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,NO_DIRECT_PE_EVIDENCE,RELATED_MSC_MECHANISM,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
MDK,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,S1,LICENSING_CONSISTENT_UP,P1_PARACRINE_CORE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,PROGRAM_MODULE_10,YES,TIER_A_FROZEN,ONE_GENERIC_OMNIPATH_COLLECTRI_LAYER,CANONICAL_SOLUBLE_SECRETED,NO_PROTEIN_SOURCE_EVIDENCE,REVERSAL_AXES=0;CONCORDANT_AXES=0,PE_MECHANISTIC_PROTECTIVE,NO_CLOSE_PRIOR_MECHANISM_FOUND,MIXED_DIRECTION_CONTEXT_DEPENDENT,R1/R2A;cell-localization limitations inherited,EXACT_MSC_PE_NOT_FOUND,COMPUTATIONAL_ONLY,results/04_phase4b/freeze/phase4b_frozen_candidates.csv|results/04_phase4b/domain_tables
