candidate,corrected_protein_source_classification,extracellular_compartment,direct_dataset_n,direct_datasets,evidence_strength,soluble_CM_direct,EV_direct,ECM_direct,cell_lysate_only,protein_source_evidence,previous_phase4b_classification,phase4b_false_negative,limitations,source_url
ADAM17,NO_PROTEIN_SOURCE_EVIDENCE,NOT_DEMONSTRATED,0,NONE,EVIDENCE_ABSENT_NOT_AGAINST,NO,NO,NO,NO,No unambiguous detection in four technically evaluable UC/WJ-MSC extracellular protein tables,NO_PROTEIN_SOURCE_EVIDENCE,NO,"FURIN/ADAM17 may be below detection, condition-specific, membrane-associated, or absent; no biological negative is inferred.",results/04_phase4b1/candidate_protein_detection_matrix.csv
AGRN,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,4,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 4 technically evaluable dataset(s): FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://doi.org/10.1186/s12951-024-03088-x|https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371|https://doi.org/10.3390/ijms25094758
COL18A1,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,3,PXD020948;PXD056371;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 3 technically evaluable dataset(s): PXD020948;PXD056371;YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371|https://doi.org/10.3390/ijms25094758
DCN,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,4,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 4 technically evaluable dataset(s): FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,OTHER_MSC_SECRETOME,NO,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://doi.org/10.1186/s12951-024-03088-x|https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371|https://doi.org/10.3390/ijms25094758
ENPP1,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,2,PXD020948;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 2 technically evaluable dataset(s): PXD020948;YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://doi.org/10.3390/ijms25094758
FURIN,NO_PROTEIN_SOURCE_EVIDENCE,NOT_DEMONSTRATED,0,NONE,EVIDENCE_ABSENT_NOT_AGAINST,NO,NO,NO,NO,No unambiguous detection in four technically evaluable UC/WJ-MSC extracellular protein tables,NO_PROTEIN_SOURCE_EVIDENCE,NO,"FURIN/ADAM17 may be below detection, condition-specific, membrane-associated, or absent; no biological negative is inferred.",results/04_phase4b1/candidate_protein_detection_matrix.csv
GDF11,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,1,YU2024_SUPP,SINGLE_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 1 technically evaluable dataset(s): YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://doi.org/10.3390/ijms25094758
GRN,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,2,PXD056371;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 2 technically evaluable dataset(s): PXD056371;YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371|https://doi.org/10.3390/ijms25094758
HSPG2,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,4,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 4 technically evaluable dataset(s): FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://doi.org/10.1186/s12951-024-03088-x|https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371|https://doi.org/10.3390/ijms25094758
MDK,HUCMSC_EV_PROTEIN_DIRECT,EV_EXOSOME,2,PXD020948;PXD056371,MULTI_DATASET,NO,YES,NO,NO,Direct unambiguous EV protein detection in 2 technically evaluable dataset(s): PXD020948;PXD056371,NO_PROTEIN_SOURCE_EVIDENCE,YES,EV cargo is not equivalent to a freely soluble paracrine ligand. Absence is not evidence against secretion.,https://www.ebi.ac.uk/pride/archive/projects/PXD020948|https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD056371
