candidate,previous_primary_classification,corrected_primary_classification,classification_changed,TRIANGULATED_HIGH_PRIORITY,TRIANGULATED_CONTEXT_DEPENDENT,COMPUTATIONAL_ONLY,BIOPHYSICALLY_WEAK_PARACRINE,KNOWN_MECHANISM_LOW_NOVELTY,topology_pass,direct_hucmsc_extracellular_protein,corrected_protein_source_classification,empirical_reversal_axis_n,empirical_concordant_or_conflict_axis_n,final_interpretation,classification_rule_source,source_url
ADAM17,BIOPHYSICALLY_WEAK_PARACRINE,BIOPHYSICALLY_WEAK_PARACRINE,NO,NO,NO,YES,YES,NO,NO,NO,NO_PROTEIN_SOURCE_EVIDENCE,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
AGRN,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
COL18A1,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
DCN,PARTIAL_EXTERNAL_EVIDENCE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,2,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
ENPP1,PERTURBATION_SUPPORTED_BUT_SOURCE_UNCONFIRMED,TRIANGULATED_HIGH_PRIORITY,YES,YES,YES,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,2,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
FURIN,COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,NO,NO,NO,YES,NO,NO,YES,NO,NO_PROTEIN_SOURCE_EVIDENCE,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
GDF11,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
GRN,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
HSPG2,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
MDK,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
NAMPT,BIOPHYSICALLY_WEAK_PARACRINE,BIOPHYSICALLY_WEAK_PARACRINE,NO,NO,NO,NO,YES,NO,NO,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
NID1,COMPUTATIONAL_ONLY,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,NO,NO,NO,NO,NO,YES,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
PSEN1,BIOPHYSICALLY_WEAK_PARACRINE,BIOPHYSICALLY_WEAK_PARACRINE,NO,NO,NO,NO,YES,NO,NO,YES,HUCMSC_EV_PROTEIN_DIRECT,0,0,NO_CANDIDATE_IS_THERAPEUTICALLY_VALIDATED,config/phase4b_analysis.json; unchanged predicates,results/04_phase4b/integration/phase4b_candidate_classification.csv|results/04_phase4b1/corrected_hucmsc_protein_source_evidence.csv
