candidate,phase3_sender_robustness,sender_evidence_level,licensing,P1_scope,P2_scope,P3_scope,receptor_competent_module_n,lr_supported_edge_n,lr_supported_receptor_n,lr_supported_receptors,target_compatible_module_n,generic_signed_prior_reversal_module_n,generic_signed_prior_tier_A_modules,disease_concordant_axis_n,disease_concordant_modules,mixed_direction_flag,protein_topology,huc_wj_msc_ev_protein_evidence,ev_protein_datasets,soluble_conditioned_medium_evidence,empirical_signed_perturbation_evidence,empirical_perturbation_modules,perturbation_biological_context,pe_context_evidence,direct_msc_pe_precedent,novelty,receiver_evidence_level,phase4a_internal_label,manuscript_facing_phase4a_label,final_deterministic_category,context_dependent,final_frozen_status,ev_only_protein_source,non_placental_empirical_reversal,direct_pe_experimental_validation,manuscript_facing_interpretation,required_validation_experiment,source_url
ADAM17,ROBUST_BASELINE_SENDER,S2,NO_CLEAR_LICENSING_EFFECT,YES,YES,YES,6,36,9,ERBB4;IL6R;ITGA5;ITGB1;MUC1;NOTCH1;NOTCH2;NOTCH3;NOTCH4,5,2,PROGRAM_MODULE_07,3,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_10,YES,MEMBRANE_ASSOCIATED,NO,NONE,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_07,NOT_EVALUABLE,PE_MECHANISTIC_AGGRAVATING,RELATED_MSC_MECHANISM,RELATED_MSC_MECHANISM,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,BIOPHYSICALLY_WEAK_PARACRINE,NO,FROZEN_PHASE4B1_CLASSIFICATION,NO,NOT_ESTABLISHED,NO,"Computational compatibility retained, but topology weakens a soluble/paracrine interpretation","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
AGRN,ROBUST_BASELINE_SENDER,S2,NO_CLEAR_LICENSING_EFFECT,YES,YES,YES,6,32,8,ATP1A3;CHRNB3;DAG1;ITGB1;LRP1;LRP2;LRP4;MUSK,5,3,PROGRAM_MODULE_01;PROGRAM_MODULE_05,2,PROGRAM_MODULE_07;PROGRAM_MODULE_10,YES,ECM_ASSOCIATED,YES,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_01;PROGRAM_MODULE_05,NOT_EVALUABLE,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
COL18A1,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,40,10,GPC1;GPC4;ITGA1;ITGA10;ITGA11;ITGA2;ITGA5;ITGB1;KDR;PTPRS,5,2,PROGRAM_MODULE_07,4,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_06,YES,ECM_ASSOCIATED,YES,PXD020948;PXD056371;YU2024_SUPP,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_07,NOT_EVALUABLE,PE_ASSOCIATION_ONLY,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
DCN,ROBUST_BASELINE_SENDER,S1,LICENSING_CONSISTENT_UP,YES,YES,YES,6,32,8,EGFR;ERBB4;IGF1R;KDR;LRP1;MET;TLR2;TLR4,5,6,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,0,,NO,ECM_ASSOCIATED,YES,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,NO,EMPIRICAL_DISEASE_CONCORDANT;NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,NOT_EVALUABLE;OTHER_HUMAN_CELLS_IFNG_NOT_TYPE_I,PE_MECHANISTIC_AGGRAVATING,RELATED_MSC_MECHANISM,RELATED_MSC_MECHANISM,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
ENPP1,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,4,1,INSR,5,4,PROGRAM_MODULE_01;PROGRAM_MODULE_04,2,PROGRAM_MODULE_05;PROGRAM_MODULE_07,YES,EXTRACELLULAR_ENZYME,YES,PXD020948;YU2024_SUPP,NO,EMPIRICAL_REVERSAL_SUPPORTED,PROGRAM_MODULE_01;PROGRAM_MODULE_04,TUMOR_STROMAL_AND_IMMUNE_LOW_PLACENTAL_CONTEXT,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,TRIANGULATED_HIGH_PRIORITY,YES,MECHANICALLY_TRIANGULATED_LEAD_HYPOTHESIS,YES,YES,NO,"Leading experimentally testable communication hypothesis from the frozen cross-dataset framework; context-dependent, EV-source and non-placental reversal evidence only; not a validated therapeutic factor",Confirm across independent hUC-MSC donors; separate soluble versus EV-associated ENPP1; quantify licensing response; expose placental stromal/Hofbauer receivers to CM/EV; ENPP1-specific loss/add-back; test IFN-state reversal and only then PE-relevant function,results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
FURIN,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,32,8,ADAM19;ADAMTS1;BACE1;DSG3;INSR;LRP1;NOTCH1;SORCS1,5,2,PROGRAM_MODULE_05;PROGRAM_MODULE_07,4,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_06;PROGRAM_MODULE_10,YES,SHED_SOLUBLE_FORM,NO,NONE,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_05;PROGRAM_MODULE_07,NOT_EVALUABLE,PE_MECHANISTIC_PROTECTIVE,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,COMPUTATIONAL_ONLY,YES,FROZEN_PHASE4B1_CLASSIFICATION,NO,NOT_ESTABLISHED,NO,Frozen computational candidate without sufficient independent source-and-direction triangulation,"Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
GDF11,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,32,8,ACVR1B;ACVR1C;ACVR2A;ACVR2B;BMPR1A;BMPR1B;BMPR2;TGFBR1,5,2,PROGRAM_MODULE_05,3,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,YES,CANONICAL_SOLUBLE_SECRETED,YES,YU2024_SUPP,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_05,NOT_EVALUABLE,PE_CONTEXT_CONFLICTING,RELATED_MSC_MECHANISM,RELATED_MSC_MECHANISM,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
GRN,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,20,5,CLEC4M;EGFR;SORT1;TNFRSF1A;TNFRSF1B,5,6,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,0,,NO,CANONICAL_SOLUBLE_SECRETED,YES,PXD056371;YU2024_SUPP,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,NOT_EVALUABLE,NO_DIRECT_PE_EVIDENCE,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,NO,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
HSPG2,ROBUST_BASELINE_SENDER,S2,PASSAGE_DEPENDENT,YES,YES,YES,6,36,9,COL13A1;DAG1;FGFR1;ITGA2;ITGB1;LRP1;LRP2;PTPRS;SDC1,5,4,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_07,1,PROGRAM_MODULE_10,YES,ECM_ASSOCIATED,YES,FIGUEROA2025_SUPP;PXD020948;PXD056371;YU2024_SUPP,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_07,NOT_EVALUABLE,NO_DIRECT_PE_EVIDENCE,RELATED_MSC_MECHANISM,RELATED_MSC_MECHANISM,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
MDK,ROBUST_BASELINE_SENDER,S1,LICENSING_CONSISTENT_UP,YES,YES,YES,6,56,14,ALK;ITGA4;ITGA6;ITGB1;LRP1;LRP2;NOTCH2;PTPRB;PTPRZ1;SDC1;SDC2;SDC3;SDC4;TSPAN1,5,5,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,1,PROGRAM_MODULE_10,YES,CANONICAL_SOLUBLE_SECRETED,YES,PXD020948;PXD056371,NO,NO_EMPIRICAL_SIGNED_EVIDENCE,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,NOT_EVALUABLE,PE_MECHANISTIC_PROTECTIVE,NO_CLOSE_PRIOR_MECHANISM_FOUND,NO_CLOSE_PRIOR_MECHANISM_FOUND,R1/R2A;cell-localization limitations inherited,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,GENERIC_SIGNED_PRIOR_REVERSAL_CANDIDATE,PROTEIN_SUPPORTED_BUT_DIRECTION_UNRESOLVED,YES,FROZEN_PHASE4B1_CLASSIFICATION,YES,NOT_ESTABLISHED,NO,"Direct hUC/WJ-MSC EV protein detection supports source plausibility, but independent signed receiver reversal is unresolved","Verify extracellular compartment in independent hUC-MSC donors, then perform candidate-specific perturbation in the mapped placental receiver with signed program readouts",results/04_phase4a/integration/phase4a_candidate_hierarchy.csv|results/04_phase4b1/corrected_phase4b_candidate_evidence_matrix.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
