module,module_label,cell_type_origin,frozen_direction,constituent_gene_set_n,admati_corrected_evidence,yang_external_scrna_evidence,bulk_directional_evidence,bulk_robust_evidence,bulk_module_classification,clinical_confounding_limitation,external_localization_confidence,cell_type_localization_claim,final_receiver_level,phase4_analysis_scope,final_interpretation,source_url
PROGRAM_MODULE_01,HOFBAUER_INTERFERON_SIGNALING_CORE,HOFBAUER,UP_IN_PE_PROGRAM,5,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,YES,NO,BULK_MODULE_DIRECTIONAL,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,PRIMARY_RECEIVER_WITH_ADMATI_LOCALIZATION; bulk tissue-level direction where indicated; no independent localization,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_02,HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION,HOFBAUER,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NO,NO,NOT_BULK_SUPPORTED,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,NON_PRIMARY_RECEIVER; preserved but not promoted,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_03,HOFBAUER_INTERFERON_RESPONSE_HALLMARKS,HOFBAUER,UP_IN_PE_PROGRAM,2,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NO,NO,BULK_MODULE_DISCORDANT,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,NON_PRIMARY_RECEIVER; preserved but not promoted,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_04,HOFBAUER_IFN_STIMULATED_HOST_RESPONSE,HOFBAUER,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,YES,NO,BULK_MODULE_DIRECTIONAL,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,PRIMARY_RECEIVER_WITH_ADMATI_LOCALIZATION; bulk tissue-level direction where indicated; no independent localization,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_05,MACROPHAGE_INTERFERON_ALPHA_BETA_SIGNALING,MACROPHAGE,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,YES,NO,BULK_MODULE_DIRECTIONAL,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,PRIMARY_RECEIVER_WITH_ADMATI_LOCALIZATION; bulk tissue-level direction where indicated; no independent localization,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_06,PLACENTAL_STROMAL_INTERFERON_ALPHA_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,YANG_LOPE_DIRECTIONAL_SUPPORT,NO,NO,NOT_BULK_SUPPORTED,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PARTIAL_APPROXIMATE_YANG_LOPE_LOCALIZATION,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2B,SECONDARY_SENSITIVITY,"SECONDARY_SENSITIVITY_RECEIVER; corrected Admati and partial Yang localization, without bulk support",results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_07,PLACENTAL_STROMAL_INTERFERON_ALPHA_BETA_SIGNALING,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,YANG_LOPE_DIRECTIONAL_SUPPORT,YES,NO,BULK_MODULE_DIRECTIONAL,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PARTIAL_APPROXIMATE_YANG_LOPE_LOCALIZATION,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R1,PRIMARY,PRIMARY_RECEIVER; corrected Admati localization plus partial Yang LOPE directional localization and bulk tissue-level directional support,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_08,PLACENTAL_STROMAL_IFN_STIMULATED_HOST_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,DIRECTIONALLY_DISCORDANT,NO,NO,NOT_VALIDATED_PHASE2B_HOLD,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,YANG_LOPE_DIRECTIONALLY_DISCORDANT,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,HOLD,HOLD_NOT_TESTED,HOLD_EXTERNAL_DISCORDANCE; not promoted,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_09,SCT_MITOCHONDRIAL_RESPIRATION_CORE,SCT,DOWN_IN_PE_PROGRAM,4,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NO,NO,NOT_BULK_SUPPORTED,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,NON_PRIMARY_RECEIVER; preserved but not promoted,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_10,SCT_OXIDATIVE_PHOSPHORYLATION_HALLMARK,SCT,DOWN_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,YES,NO,BULK_MODULE_DIRECTIONAL,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,R2A,PRIMARY,PRIMARY_RECEIVER_WITH_ADMATI_LOCALIZATION; bulk tissue-level direction where indicated; no independent localization,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
PROGRAM_MODULE_11,SCT_REPLICATION_ORIGIN_TRANSITION,SCT,DOWN_IN_PE_PROGRAM,2,CORRECTED_ADMATI_SUPPORT,NOT_EVALUABLE,NO,NO,NOT_BULK_SUPPORTED,EOPE: delivery mode/induction/IUGR NON_ESTIMABLE; GA/fetal sex/maternal age WEAKLY_ESTIMABLE with early-control n=3. LOPE: C-section sensitivity possible; induction/IUGR NON_ESTIMABLE; residual GA/cell-abundance limits.,PRIMARY_ADMATI_LOCALIZATION_ONLY,DEPENDENT_ON_SINGLE_CELL_EVIDENCE_NOT_VALIDATED_BY_BULK,NOT_PROMOTED,NOT_TESTED_NOT_PROMOTED,NON_PRIMARY_RECEIVER; preserved but not promoted,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2b/evidence/updated_receiver_evidence_hierarchy.csv|MSigDB:2026.1.Hs|config/phase4a_analysis.json|results/02_phase2b/meta/program_module_validation.csv|results/02_phase2a1/clinical_confounding_audit.csv
